entity_id,state,last_changed
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:18:02.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,195",2024-11-15T22:18:17.244Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:18:32.247Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:18:47.244Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:19:02.238Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:19:17.243Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,200,208,198,192",2024-11-15T22:19:32.247Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:19:47.244Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,201,209,198,192",2024-11-15T22:20:32.246Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:20:47.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,195",2024-11-15T22:21:02.250Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:21:17.243Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:21:32.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:21:47.246Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:22:02.244Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:22:32.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:22:47.243Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,196,192",2024-11-15T22:23:02.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:23:17.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:23:32.245Z
